JBlk		Description
678(+3072):	active write to sector: 1939856
679:		active write to sector: 1939856
680:		active write to sector: 1939856
680(+3072):	active write to sector: 1939920
681:		active write to sector: 1939920
682:		active write to sector: 1939920
682(+3072):	active write to sector: 1929872
683:		active write to sector: 1929872
684:		active write to sector: 1929872
684(+3072):	active write to sector: 1929824
685:		active write to sector: 1929824
686:		active write to sector: 1929824
686(+3072):	active write to sector: 1928672
687:		active write to sector: 1928672
688:		active write to sector: 1928672
688(+3072):	active write to sector: 1939440
689:		active write to sector: 1939440
690:		active write to sector: 1939440
690(+3072):	active write to sector: 1928800
691:		active write to sector: 1928800
692:		active write to sector: 1928800
692(+3072):	active write to sector: 1939552
693:		active write to sector: 1939552
694:		active write to sector: 1939552
694(+3072):	active write to sector: 1939648
695:		active write to sector: 1939648
696:		active write to sector: 1939648
696(+3072):	active write to sector: 1939744
697:		active write to sector: 1939744
698:		active write to sector: 1939744
698(+3072):	active write to sector: 1939840
699:		active write to sector: 1939840
700:		active write to sector: 1939840
700(+3072):	active write to sector: 1929904
701:		active write to sector: 1929904
702:		active write to sector: 1929904
702(+3072):	active write to sector: 1939888
703:		active write to sector: 1939888
704:		active write to sector: 1939888
704(+3072):	active write to sector: 1929408
705:		active write to sector: 1929408
706:		active write to sector: 1929408
706(+3072):	active write to sector: 1939984
707:		active write to sector: 1939984
708:		active write to sector: 1939984
708(+3072):	active write to sector: 2205136
709:		active write to sector: 2205136
710:		active write to sector: 2205136
710(+3072):	active write to sector: 2109840
711:		active write to sector: 2109840
712:		active write to sector: 2109840
712(+3072):	active write to sector: 2203584
713:		active write to sector: 2203584
714:		active write to sector: 2203584
714(+3072):	active write to sector: 2203680
715:		active write to sector: 2203680
716:		active write to sector: 2203680
716(+3072):	active write to sector: 648
717:		active write to sector: 648
717(+3072):	active write to sector: 2205280
718:		active write to sector: 2205280
719:		active write to sector: 2205280
719(+3072):	active write to sector: 2204816
720:		active write to sector: 2204816
721:		active write to sector: 2204816
721(+3072):	active write to sector: 656
722:		active write to sector: 656
722(+3072):	active write to sector: 2109792
723:		active write to sector: 2109792
724:		active write to sector: 2109792
724(+3072):	active write to sector: 1925664
725:		active write to sector: 1925664
726:		active write to sector: 1925664
726(+3072):	active write to sector: 1996864
727:		active write to sector: 1996864
728:		active write to sector: 1996864
728(+3072):	active write to sector: 2072304
729:		active write to sector: 2072304
730:		active write to sector: 2072304
730(+3072):	active write to sector: 2203152
731:		active write to sector: 2203152
732:		active write to sector: 2203152
732(+3072):	active write to sector: 18888
733:		active write to sector: 18888
733(+3072):	active write to sector: 2203280
734:		active write to sector: 2203280
735:		active write to sector: 2203280
735(+3072):	active write to sector: 2205488
736:		active write to sector: 2205488
737:		active write to sector: 2205488
737(+3072):	active write to sector: 2204960
738:		active write to sector: 2204960
739:		active write to sector: 2204960
739(+3072):	active write to sector: 2203056
740:		active write to sector: 2203056
741:		active write to sector: 2203056
741(+3072):	active write to sector: 1928448
742:		active write to sector: 1928448
743:		active write to sector: 1928448
743(+3072):	active write to sector: 2203264
744:		active write to sector: 2203264
745:		active write to sector: 2203264
745(+3072):	active write to sector: 1926368
746:		active write to sector: 1926368
747:		active write to sector: 1926368
747(+3072):	active write to sector: 18880
748:		active write to sector: 18880
748(+3072):	active write to sector: 2203344
749:		active write to sector: 2203344
750:		active write to sector: 2203344
750(+3072):	active write to sector: 2162576
751:		active write to sector: 2162576
752:		active write to sector: 2162576
752(+3072):	active write to sector: 2162640
753:		active write to sector: 2162640
754:		active write to sector: 2162640
754(+3072):	active write to sector: 2203104
755:		active write to sector: 2203104
756:		active write to sector: 2203104
756(+3072):	active write to sector: 2205184
757:		active write to sector: 2205184
758:		active write to sector: 2205184
758(+3072):	active write to sector: 1926592
759:		active write to sector: 1926592
760:		active write to sector: 1926592
760(+3072):	active write to sector: 1929968
761:		active write to sector: 1929968
762:		active write to sector: 1929968
762(+3072):	active write to sector: 2204864
763:		active write to sector: 2204864
764:		active write to sector: 2204864
764(+3072):	active write to sector: 2162480
765:		active write to sector: 2162480
766:		active write to sector: 2162480
766(+3072):	active write to sector: 2052480
767:		active write to sector: 2052480
768:		active write to sector: 2052480
768(+3072):	active write to sector: 2203840
769:		active write to sector: 2203840
770:		active write to sector: 2203840
770(+3072):	active write to sector: 2029616
771:		active write to sector: 2029616
772:		active write to sector: 2029616
772(+3072):	active write to sector: 1927040
773:		active write to sector: 1927040
774:		active write to sector: 1927040
774(+3072):	active write to sector: 1924608
775:		active write to sector: 1924608
776:		active write to sector: 1924608
776(+3072):	active write to sector: 2113168
777:		active write to sector: 2113168
778:		active write to sector: 2113168
778(+3072):	active write to sector: 1953744
779:		active write to sector: 1953744
780:		active write to sector: 1953744
780(+3072):	active write to sector: 1929808
781:		active write to sector: 1929808
782:		active write to sector: 1929808
782(+3072):	active write to sector: 1924160
783:		active write to sector: 1924160
784:		active write to sector: 1924160
784(+3072):	active write to sector: 2160032
785:		active write to sector: 2160032
786:		active write to sector: 2160032
786(+3072):	active write to sector: 2104528
787:		active write to sector: 2104528
788:		active write to sector: 2104528
788(+3072):	active write to sector: 1926544
789:		active write to sector: 1926544
790:		active write to sector: 1926544
790(+3072):	active write to sector: 2205248
791:		active write to sector: 2205248
792:		active write to sector: 2205248
792(+3072):	active write to sector: 1923600
793:		active write to sector: 1923600
794:		active write to sector: 1923600
794(+3072):	active write to sector: 1924784
795:		active write to sector: 1924784
796:		active write to sector: 1924784
796(+3072):	active write to sector: 1925568
797:		active write to sector: 1925568
798:		active write to sector: 1925568
798(+3072):	active write to sector: 2157568
799:		active write to sector: 2157568
800:		active write to sector: 2157568
800(+3072):	active Journal Block Header (Transaction: 13 )
801:		active Journal Block Header (Transaction: 13 )
802:		active Journal Block Header (Transaction: 13 )
803:		active Journal Block Header (Transaction: 13 )
804:		active Journal Block Header (Transaction: 13 )
805:		active Journal Block Header (Transaction: 13 )
806:		active Journal Block Header (Transaction: 13 )
807:		active Journal Block Header (Transaction: 13 )
808:		active Journal Block Header (Transaction: 13 )
808(+3072):	active write to sector: 2203152
809:		active write to sector: 2203152
810:		active write to sector: 2203152
810(+3072):	active write to sector: 2
810(+3584):	active write to sector: 648
811:		active write to sector: 648
811(+3584):	active write to sector: 18888
812:		active write to sector: 18888
812(+3584):	active write to sector: 2207504
813:		active write to sector: 2207504
814:		active write to sector: 2207504
814(+3584):	active write to sector: 1923536
815:		active write to sector: 1923536
816:		active write to sector: 1923536
816(+3584):	active write to sector: 1958480
817:		active write to sector: 1958480
818:		active write to sector: 1958480
818(+3584):	active write to sector: 1923520
819:		active write to sector: 1923520
820:		active write to sector: 1923520
820(+3584):	active write to sector: 1973568
821:		active write to sector: 1973568
822:		active write to sector: 1973568
822(+3584):	active write to sector: 31184
823:		active write to sector: 31184
824:		active write to sector: 31184
824(+3584):	active write to sector: 31168
825:		active write to sector: 31168
826:		active write to sector: 31168
826(+3584):	active write to sector: 2204976
827:		active write to sector: 2204976
828:		active write to sector: 2204976
828(+3584):	active write to sector: 2207472
829:		active write to sector: 2207472
830:		active write to sector: 2207472
830(+3584):	active write to sector: 2202960
831:		active write to sector: 2202960
832:		active write to sector: 2202960
832(+3584):	active write to sector: 1929312
833:		active write to sector: 1929312
834:		active write to sector: 1929312
834(+3584):	active Journal Block Header (Transaction: 14 )
835:		active Journal Block Header (Transaction: 14 )
836:		active Journal Block Header (Transaction: 14 )
837:		active Journal Block Header (Transaction: 14 )
838:		active Journal Block Header (Transaction: 14 )
839:		active Journal Block Header (Transaction: 14 )
840:		active Journal Block Header (Transaction: 14 )
841:		active Journal Block Header (Transaction: 14 )
842:		active Journal Block Header (Transaction: 14 )
842(+3584):	active write to sector: 2203024
843:		active write to sector: 2203024
844:		active write to sector: 2203024
844(+3584):	active Journal Block Header (Transaction: 15 )
845:		active Journal Block Header (Transaction: 15 )
846:		active Journal Block Header (Transaction: 15 )
847:		active Journal Block Header (Transaction: 15 )
848:		active Journal Block Header (Transaction: 15 )
849:		active Journal Block Header (Transaction: 15 )
850:		active Journal Block Header (Transaction: 15 )
851:		active Journal Block Header (Transaction: 15 )
852:		active Journal Block Header (Transaction: 15 )
852(+3584):	active write to sector: 1958480
853:		active write to sector: 1958480
854:		active write to sector: 1958480
854(+3584):	active write to sector: 1939136
855:		active write to sector: 1939136
856:		active write to sector: 1939136
856(+3584):	active write to sector: 1933024
857:		active write to sector: 1933024
858:		active write to sector: 1933024
858(+3584):	active write to sector: 1923536
859:		active write to sector: 1923536
860:		active write to sector: 1923536
860(+3584):	active write to sector: 2204960
861:		active write to sector: 2204960
862:		active write to sector: 2204960
862(+3584):	active write to sector: 1923520
863:		active write to sector: 1923520
864:		active write to sector: 1923520
864(+3584):	active write to sector: 2203264
865:		active write to sector: 2203264
866:		active write to sector: 2203264
866(+3584):	active write to sector: 2
867:		active write to sector: 648
868:		active write to sector: 2204976
869:		active write to sector: 2204976
870:		active write to sector: 2207472
871:		active write to sector: 2207472
872:		active write to sector: 1933904
873:		active write to sector: 1933904
874:		active write to sector: 1948800
875:		active write to sector: 1948800
876:		active write to sector: 1951984
877:		active write to sector: 1951984
878:		active write to sector: 1925632
879:		active write to sector: 1925632
880:		active write to sector: 2098528
881:		active write to sector: 2098528
882:		active write to sector: 2098048
883:		active write to sector: 2098048
884:		active write to sector: 1925408
885:		active write to sector: 1925408
886:		active write to sector: 1940096
887:		active write to sector: 1940096
888:		active write to sector: 1923744
889:		active write to sector: 1923744
890:		active write to sector: 2204912
891:		active write to sector: 2204912
892:		active write to sector: 1923728
893:		active write to sector: 1923728
894:		active write to sector: 2203024
895:		active write to sector: 2203024
896:		active write to sector: 2205328
897:		active write to sector: 2205328
898:		active write to sector: 2065584
899:		active write to sector: 2065584
900:		active write to sector: 2016640
901:		active write to sector: 2016640
902:		active write to sector: 1939632
903:		active write to sector: 1939632
904:		active write to sector: 1926720
905:		active write to sector: 1926720
906:		active write to sector: 1929936
907:		active write to sector: 1929936
908:		active write to sector: 1935808
909:		active write to sector: 1935808
910:		active write to sector: 1930400
911:		active write to sector: 1930400
912:		active write to sector: 1926704
913:		active write to sector: 1926704
914:		active write to sector: 1928272
915:		active write to sector: 1928272
916:		active write to sector: 2029584
917:		active write to sector: 2029584
918:		active write to sector: 2029632
919:		active write to sector: 2029632
920:		active write to sector: 2029616
921:		active write to sector: 2029616
922:		active write to sector: 2029568
923:		active write to sector: 2029568
924:		active write to sector: 1924608
925:		active write to sector: 1924608
926:		active write to sector: 2106400
927:		active write to sector: 2106400
928:		active write to sector: 1923872
929:		active write to sector: 1923872
930:		active write to sector: 1937744
931:		active write to sector: 1937744
932:		active write to sector: 1935424
933:		active write to sector: 1935424
934:		active write to sector: 2106352
935:		active write to sector: 2106352
936:		active write to sector: 2203280
937:		active write to sector: 2203280
938:		active write to sector: 2203568
939:		active write to sector: 2203568
940:		active write to sector: 1951776
941:		active write to sector: 1951776
942:		active write to sector: 2031728
943:		active write to sector: 2031728
944:		active write to sector: 1951632
945:		active write to sector: 1951632
946:		active write to sector: 1940432
947:		active write to sector: 1940432
948:		active write to sector: 2204864
949:		active write to sector: 2204864
950:		active write to sector: 2203680
951:		active write to sector: 2203680
952:		active write to sector: 656
953:		active write to sector: 2203648
954:		active write to sector: 2203648
955:		active write to sector: 2204576
956:		active write to sector: 2204576
957:		active write to sector: 2038864
958:		active write to sector: 2038864
959:		active write to sector: 1998816
960:		active write to sector: 1998816
961:		active write to sector: 2109840
962:		active write to sector: 2109840
963:		active write to sector: 2205280
964:		active write to sector: 2205280
965:		active write to sector: 2204528
966:		active write to sector: 2204528
967:		active write to sector: 1926912
968:		active write to sector: 1926912
969:		active write to sector: 2203104
970:		active write to sector: 2203104
971:		active write to sector: 2203488
972:		active write to sector: 2203488
973:		active write to sector: 2204496
974:		active write to sector: 2204496
975:		active write to sector: 2204880
976:		active write to sector: 2204880
977:		active write to sector: 2204432
978:		active write to sector: 2204432
979:		active write to sector: 2204896
980:		active write to sector: 2204896
981:		active write to sector: 2205184
982:		active write to sector: 2205184
983:		active write to sector: 2016672
984:		active write to sector: 2016672
985:		active write to sector: 1925184
986:		active write to sector: 1925184
987:		active write to sector: 2203440
988:		active write to sector: 2203440
989:		active write to sector: 2203760
990:		active write to sector: 2203760
991:		active write to sector: 1928704
992:		active write to sector: 1928704
993:		active write to sector: 2203696
994:		active write to sector: 2203696
995:		active write to sector: 2003952
996:		active write to sector: 2003952
997:		active write to sector: 1944896
998:		active write to sector: 1944896
999:		active write to sector: 2035648
1000:		active write to sector: 2035648
1001:		active write to sector: 2203248
1002:		active write to sector: 2203248
1003:		active write to sector: 1923616
1004:		active write to sector: 1923616
1005:		active write to sector: 1960608
1006:		active write to sector: 1960608
1007:		active write to sector: 2040352
1008:		active write to sector: 2040352
1009:		active write to sector: 2029536
1010:		active write to sector: 2029536
1011:		active write to sector: 2016848
1012:		active write to sector: 2016848
1013:		active write to sector: 2028864
1014:		active write to sector: 2028864
1015:		active write to sector: 1928720
1016:		active write to sector: 1928720
1017:		active write to sector: 2207504
1018:		active write to sector: 2207504
1019:		active write to sector: 18888
1020:		active write to sector: 1928944
1021:		active write to sector: 1928944
1022:		active write to sector: 2078640
1023:		active write to sector: 2078640
1024:		active write to sector: 2073344
1025:		active write to sector: 2073344
1026:		active write to sector: 2205248
1027:		active write to sector: 2205248
1028:		active Journal Block Header (Transaction: 16 )
1029:		active Journal Block Header (Transaction: 16 )
1030:		active Journal Block Header (Transaction: 16 )
1031:		active Journal Block Header (Transaction: 16 )
1032:		active Journal Block Header (Transaction: 16 )
1033:		active Journal Block Header (Transaction: 16 )
1034:		active Journal Block Header (Transaction: 16 )
1035:		active Journal Block Header (Transaction: 16 )
1036:		active write to sector: 2205136
1037:		active write to sector: 2205136
1038:		active write to sector: 2
1038(+512):	active write to sector: 648
1039:		active write to sector: 648
1039(+512):	active write to sector: 31184
1040:		active write to sector: 31184
1041:		active write to sector: 31184
1041(+512):	active write to sector: 31168
1042:		active write to sector: 31168
1043:		active write to sector: 31168
1043(+512):	active write to sector: 2203264
1044:		active write to sector: 2203264
1045:		active write to sector: 2203264
1045(+512):	active write to sector: 2203472
1046:		active write to sector: 2203472
1047:		active write to sector: 2203472
1047(+512):	active write to sector: 1923536
1048:		active write to sector: 1923536
1049:		active write to sector: 1923536
1049(+512):	active write to sector: 2204960
1050:		active write to sector: 2204960
1051:		active write to sector: 2204960
1051(+512):	active write to sector: 1923520
1052:		active write to sector: 1923520
1053:		active write to sector: 1923520
1053(+512):	active write to sector: 2204976
1054:		active write to sector: 2204976
1055:		active write to sector: 2204976
1055(+512):	active write to sector: 2207472
1056:		active write to sector: 2207472
1057:		active write to sector: 2207472
1057(+512):	active write to sector: 1942736
1058:		active write to sector: 1942736
1059:		active write to sector: 1942736
1059(+512):	active write to sector: 1925472
1060:		active write to sector: 1925472
1061:		active write to sector: 1925472
1061(+512):	active write to sector: 2203584
1062:		active write to sector: 2203584
1063:		active write to sector: 2203584
1063(+512):	active write to sector: 2203680
1064:		active write to sector: 2203680
1065:		active write to sector: 2203680
1065(+512):	active write to sector: 1935376
1066:		active write to sector: 1935376
1067:		active write to sector: 1935376
1067(+512):	active write to sector: 2160320
1068:		active write to sector: 2160320
1069:		active write to sector: 2160320
1069(+512):	active write to sector: 1928128
1070:		active write to sector: 1928128
1071:		active write to sector: 1928128
1071(+512):	active write to sector: 1935280
1072:		active write to sector: 1935280
1073:		active write to sector: 1935280
1073(+512):	active write to sector: 2162688
1074:		active write to sector: 2162688
1075:		active write to sector: 2162688
1075(+512):	active write to sector: 1928144
1076:		active write to sector: 1928144
1077:		active write to sector: 1928144
1077(+512):	active write to sector: 2204544
1078:		active write to sector: 2204544
1079:		active write to sector: 2204544
1079(+512):	active write to sector: 2205280
1080:		active write to sector: 2205280
1081:		active write to sector: 2205280
1081(+512):	active write to sector: 2205488
1082:		active write to sector: 2205488
1083:		active write to sector: 2205488
1083(+512):	active write to sector: 2204816
1084:		active write to sector: 2204816
1085:		active write to sector: 2204816
1085(+512):	active write to sector: 1935344
1086:		active write to sector: 1935344
1087:		active write to sector: 1935344
1087(+512):	active write to sector: 1925728
1088:		active write to sector: 1925728
1089:		active write to sector: 1925728
1089(+512):	active write to sector: 1947920
1090:		active write to sector: 1947920
1091:		active write to sector: 1947920
1091(+512):	active write to sector: 2093424
1092:		active write to sector: 2093424
1093:		active write to sector: 2093424
1093(+512):	active write to sector: 1928096
1094:		active write to sector: 1928096
1095:		active write to sector: 1928096
1095(+512):	active write to sector: 2203616
1096:		active write to sector: 2203616
1097:		active write to sector: 2203616
1097(+512):	active write to sector: 1928944
1098:		active write to sector: 1928944
1099:		active write to sector: 1928944
1099(+512):	active write to sector: 1947152
1100:		active write to sector: 1947152
1101:		active write to sector: 1947152
1101(+512):	active write to sector: 1928176
1102:		active write to sector: 1928176
1103:		active write to sector: 1928176
1103(+512):	active write to sector: 1972944
1104:		active write to sector: 1972944
1105:		active write to sector: 1972944
1105(+512):	active write to sector: 1933904
1106:		active write to sector: 1933904
1107:		active write to sector: 1933904
1107(+512):	active write to sector: 2085600
1108:		active write to sector: 2085600
1109:		active write to sector: 2085600
1109(+512):	active write to sector: 1928256
1110:		active write to sector: 1928256
1111:		active write to sector: 1928256
1111(+512):	active write to sector: 2203152
1112:		active write to sector: 2203152
1113:		active write to sector: 2203152
1113(+512):	active write to sector: 18888
1114:		active write to sector: 18888
1114(+512):	active write to sector: 2157184
1115:		active write to sector: 2157184
1116:		active write to sector: 2157184
1116(+512):	active write to sector: 1929216
1117:		active write to sector: 1929216
1118:		active write to sector: 1929216
1118(+512):	active write to sector: 2072544
1119:		active write to sector: 2072544
1120:		active write to sector: 2072544
1120(+512):	active write to sector: 2161152
1121:		active write to sector: 2161152
1122:		active write to sector: 2161152
1122(+512):	active write to sector: 1950400
1123:		active write to sector: 1950400
1124:		active write to sector: 1950400
1124(+512):	active write to sector: 1950336
1125:		active write to sector: 1950336
1126:		active write to sector: 1950336
1126(+512):	active write to sector: 1925344
1127:		active write to sector: 1925344
1128:		active write to sector: 1925344
1128(+512):	active write to sector: 1935440
1129:		active write to sector: 1935440
1130:		active write to sector: 1935440
1130(+512):	active write to sector: 2203488
1131:		active write to sector: 2203488
1132:		active write to sector: 2203488
1132(+512):	active write to sector: 2118032
1133:		active write to sector: 2118032
1134:		active write to sector: 2118032
1134(+512):	active write to sector: 2084224
1135:		active write to sector: 2084224
1136:		active write to sector: 2084224
1136(+512):	active write to sector: 1927152
1137:		active write to sector: 1927152
1138:		active write to sector: 1927152
1138(+512):	active write to sector: 2124704
1139:		active write to sector: 2124704
1140:		active write to sector: 2124704
1140(+512):	active write to sector: 2057456
1141:		active write to sector: 2057456
1142:		active write to sector: 2057456
1142(+512):	active write to sector: 2069760
1143:		active write to sector: 2069760
1144:		active write to sector: 2069760
1144(+512):	active write to sector: 2071888
1145:		active write to sector: 2071888
1146:		active write to sector: 2071888
1146(+512):	active write to sector: 2091008
1147:		active write to sector: 2091008
1148:		active write to sector: 2091008
1148(+512):	active write to sector: 1947632
1149:		active write to sector: 1947632
1150:		active write to sector: 1947632
1150(+512):	active write to sector: 2119744
1151:		active write to sector: 2119744
1152:		active write to sector: 2119744
1152(+512):	active write to sector: 2136912
1153:		active write to sector: 2136912
1154:		active write to sector: 2136912
1154(+512):	active write to sector: 2205168
1155:		active write to sector: 2205168
1156:		active write to sector: 2205168
1156(+512):	active write to sector: 1950048
1157:		active write to sector: 1950048
1158:		active write to sector: 1950048
1158(+512):	active write to sector: 2024336
1159:		active write to sector: 2024336
1160:		active write to sector: 2024336
1160(+512):	active write to sector: 2205104
1161:		active write to sector: 2205104
1162:		active write to sector: 2205104
1162(+512):	active write to sector: 2204576
1163:		active write to sector: 2204576
1164:		active write to sector: 2204576
1164(+512):	active write to sector: 2024352
1165:		active write to sector: 2024352
1166:		active write to sector: 2024352
1166(+512):	active write to sector: 2024384
1167:		active write to sector: 2024384
1168:		active write to sector: 2024384
1168(+512):	active write to sector: 2024368
1169:		active write to sector: 2024368
1170:		active write to sector: 2024368
1170(+512):	active write to sector: 2024416
1171:		active write to sector: 2024416
1172:		active write to sector: 2024416
1172(+512):	active write to sector: 2024400
1173:		active write to sector: 2024400
1174:		active write to sector: 2024400
1174(+512):	active write to sector: 2203664
1175:		active write to sector: 2203664
1176:		active write to sector: 2203664
1176(+512):	active write to sector: 2204512
1177:		active write to sector: 2204512
1178:		active write to sector: 2204512
1178(+512):	active write to sector: 1946992
1179:		active write to sector: 1946992
1180:		active write to sector: 1946992
1180(+512):	active write to sector: 2205184
1181:		active write to sector: 2205184
1182:		active write to sector: 2205184
1182(+512):	active write to sector: 2204864
1183:		active write to sector: 2204864
1184:		active write to sector: 2204864
1184(+512):	active write to sector: 2162576
1185:		active write to sector: 2162576
1186:		active write to sector: 2162576
1186(+512):	active write to sector: 2203552
1187:		active write to sector: 2203552
1188:		active write to sector: 2203552
1188(+512):	active write to sector: 1925392
1189:		active write to sector: 1925392
1190:		active write to sector: 1925392
1190(+512):	active write to sector: 1930176
1191:		active write to sector: 1930176
1192:		active write to sector: 1930176
1192(+512):	active write to sector: 2083888
1193:		active write to sector: 2083888
1194:		active write to sector: 2083888
1194(+512):	active write to sector: 1973568
1195:		active write to sector: 1973568
1196:		active write to sector: 1973568
1196(+512):	active write to sector: 2071872
1197:		active write to sector: 2071872
1198:		active write to sector: 2071872
1198(+512):	active write to sector: 2078640
1199:		active write to sector: 2078640
1200:		active write to sector: 2078640
1200(+512):	active write to sector: 1925456
1201:		active write to sector: 1925456
1202:		active write to sector: 1925456
1202(+512):	active write to sector: 1925408
1203:		active write to sector: 1925408
1204:		active write to sector: 1925408
1204(+512):	active write to sector: 2016848
1205:		active write to sector: 2016848
1206:		active write to sector: 2016848
1206(+512):	active write to sector: 2039936
1207:		active write to sector: 2039936
1208:		active write to sector: 2039936
1208(+512):	active write to sector: 2098864
1209:		active write to sector: 2098864
1210:		active write to sector: 2098864
1210(+512):	active write to sector: 2161472
1211:		active write to sector: 2161472
1212:		active write to sector: 2161472
1212(+512):	active write to sector: 1938768
1213:		active write to sector: 1938768
1214:		active write to sector: 1938768
1214(+512):	active write to sector: 2203104
1215:		active write to sector: 2203104
1216:		active write to sector: 2203104
1216(+512):	active write to sector: 1947040
1217:		active write to sector: 1947040
1218:		active write to sector: 1947040
1218(+512):	active write to sector: 2207488
1219:		active write to sector: 2207488
1220:		active write to sector: 2207488
1220(+512):	active write to sector: 2109840
1221:		active write to sector: 2109840
1222:		active write to sector: 2109840
1222(+512):	active write to sector: 2205248
1223:		active write to sector: 2205248
1224:		active write to sector: 2205248
1224(+512):	active write to sector: 1998032
1225:		active write to sector: 1998032
1226:		active write to sector: 1998032
1226(+512):	 Unused 
1227		 Unused 
1228		 Unused 
1229		 Unused 
1230		 Unused 
1231		 Unused 
1232		 Unused 
1233		 Unused 
1234		 Unused 
1235		 Unused 
1236		 Unused 
1237		 Unused 
1238		 Unused 
1239		 Unused 
1240		 Unused 
1241		 Unused 
1242		 Unused 
1243		 Unused 
1244		 Unused 
1245		 Unused 
1246		 Unused 
1247		 Unused 
1248		 Unused 
1249		 Unused 
1250		 Unused 
1251		 Unused 
1252		 Unused 
1253		 Unused 
1254		 Unused 
1255		 Unused 
1256		 Unused 
1257		 Unused 
1258		 Unused 
1259		 Unused 
1260		 Unused 
1261		 Unused 
1262		 Unused 
1263		 Unused 
1264		 Unused 
1265		 Unused 
1266		 Unused 
1267		 Unused 
1268		 Unused 
1269		 Unused 
1270		 Unused 
1271		 Unused 
1272		 Unused 
1273		 Unused 
1274		 Unused 
1275		 Unused 
1276		 Unused 
1277		 Unused 
1278		 Unused 
1279		 Unused 
1280		 Unused 
1281		 Unused 
1282		 Unused 
1283		 Unused 
1284		 Unused 
1285		 Unused 
1286		 Unused 
1287		 Unused 
1287(+1929):	not active Journal Block Header (Transaction: 17 )
1288:		not active Journal Block Header (Transaction: 17 )
1289:		not active Journal Block Header (Transaction: 17 )
1290:		not active Journal Block Header (Transaction: 17 )
1291:		not active Journal Block Header (Transaction: 17 )
1292:		not active Journal Block Header (Transaction: 17 )
1293:		not active Journal Block Header (Transaction: 17 )
1294:		not active Journal Block Header (Transaction: 17 )
1295:		not active Journal Block Header (Transaction: 17 )
1295(+1929):	 Unused 
1296		 Unused 
1297		 Unused 
1298		 Unused 
1299		 Unused 
1300		 Unused 
1301		 Unused 
1302		 Unused 
1303		 Unused 
1304		 Unused 
1305		 Unused 
1306		 Unused 
1307		 Unused 
1308		 Unused 
1309		 Unused 
1310		 Unused 
1311		 Unused 
1312		 Unused 
1313		 Unused 
1314		 Unused 
1315		 Unused 
1316		 Unused 
1317		 Unused 
1318		 Unused 
1319		 Unused 
1320		 Unused 
1321		 Unused 
1321(+2560):	not active Journal Block Header (Transaction: 18 )
1322:		not active Journal Block Header (Transaction: 18 )
1323:		not active Journal Block Header (Transaction: 18 )
1324:		not active Journal Block Header (Transaction: 18 )
1325:		not active Journal Block Header (Transaction: 18 )
1326:		not active Journal Block Header (Transaction: 18 )
1327:		not active Journal Block Header (Transaction: 18 )
1328:		not active Journal Block Header (Transaction: 18 )
1329:		not active Journal Block Header (Transaction: 18 )
1329(+2560):	not active write to sector: 1977936
1330:		not active write to sector: 1977936
1331:		not active write to sector: 1977936
1331(+2560):	not active write to sector: 1938560
1332:		not active write to sector: 1938560
1333:		not active write to sector: 1938560
1333(+2560):	not active write to sector: 2161936
1334:		not active write to sector: 2161936
1335:		not active write to sector: 2161936
1335(+2560):	not active write to sector: 1975376
1336:		not active write to sector: 1975376
1337:		not active write to sector: 1975376
1337(+2560):	not active write to sector: 1925568
1338:		not active write to sector: 1925568
1339:		not active write to sector: 1925568
1339(+2560):	not active write to sector: 1929280
1340:		not active write to sector: 1929280
1341:		not active write to sector: 1929280
1341(+2560):	not active write to sector: 2109792
1342:		not active write to sector: 2109792
1343:		not active write to sector: 2109792
1343(+2560):	not active write to sector: 2113168
1344:		not active write to sector: 2113168
1345:		not active write to sector: 2113168
1345(+2560):	not active write to sector: 2203104
1346:		not active write to sector: 2203104
1347:		not active write to sector: 2203104
1347(+2560):	not active write to sector: 648
1348:		not active write to sector: 648
1348(+2560):	not active write to sector: 2
1348(+3072):	not active write to sector: 1928944
1349:		not active write to sector: 1928944
1350:		not active write to sector: 1928944
1350(+3072):	not active write to sector: 2040352
1351:		not active write to sector: 2040352
1352:		not active write to sector: 2040352
1352(+3072):	not active write to sector: 2203264
1353:		not active write to sector: 2203264
1354:		not active write to sector: 2203264
1354(+3072):	not active write to sector: 1929808
1355:		not active write to sector: 1929808
1356:		not active write to sector: 1929808
1356(+3072):	not active write to sector: 1924160
1357:		not active write to sector: 1924160
1358:		not active write to sector: 1924160
1358(+3072):	not active write to sector: 2160032
1359:		not active write to sector: 2160032
1360:		not active write to sector: 2160032
1360(+3072):	not active write to sector: 1939920
1361:		not active write to sector: 1939920
1362:		not active write to sector: 1939920
1362(+3072):	not active write to sector: 1929904
1363:		not active write to sector: 1929904
1364:		not active write to sector: 1929904
1364(+3072):	not active write to sector: 1939856
1365:		not active write to sector: 1939856
1366:		not active write to sector: 1939856
1366(+3072):	not active write to sector: 1928880
1367:		not active write to sector: 1928880
1368:		not active write to sector: 1928880
1368(+3072):	not active write to sector: 1939584
1369:		not active write to sector: 1939584
1370:		not active write to sector: 1939584
1370(+3072):	not active write to sector: 1939472
1371:		not active write to sector: 1939472
1372:		not active write to sector: 1939472
1372(+3072):	not active write to sector: 1928784
1373:		not active write to sector: 1928784
1374:		not active write to sector: 1928784
1374(+3072):	not active write to sector: 1939392
1375:		not active write to sector: 1939392
1376:		not active write to sector: 1939392
1376(+3072):	not active write to sector: 2115808
